600	光復香港，時代革命	306743
601	流浪地球	306009
602	我的大叔	305638
603	吴青峰	304710
604	嫪毐	304481
605	黃捷	304201
606	九一一袭击事件	304189
607	雙子殺手	303146
608	賀一航	299433
609	幸福一家人	298271
610	Abyss	297278
611	葉問外傳：張天志	297196
612	第十四世达赖喇嘛	295694
613	鹤唳华亭	293282
614	鄧炳強	293218
615	艾蜜麗的五件事	292870
616	Item (電視劇)	292666
617	般若波羅蜜多心經	292062
618	許凱	291842
619	AB6IX	291734
620	九州缥缈录	290693
621	角頭2：王者再起	290311
622	隻狼：暗影雙死	289938
623	鬥魚 (電影)	289778
624	絕命毒師	289545
625	太陽的後裔	288826
626	流浪地球 (电影)	287808
627	反骨男孩	287682
628	黃旭熙	287605
629	雞不可失	287602
630	絕對達令 (韓國電視劇)	287384
631	陳零九	286901
632	香港立法會	286846
633	死亡擱淺	286712
634	黑洞	286357
635	从前有座灵剑山 (网络剧)	285954
636	刘亦菲	285815
637	林心如	285487
638	越位 (足球)	285393
639	愛上變身情人 (電視劇)	284771
640	习仲勋	284455
641	感恩节	284274
642	黎智英	283616
643	邱鋒澤	283375
644	柯佳嬿	283344
645	田馥甄	282750
646	愛·回家之開心速遞角色列表	282437
647	蕭景田	282377
648	新疆维吾尔自治区	282292
649	強弱危機分析	281876
650	孔子	281693
651	X戰警電影系列	281477
652	第54屆金鐘獎	280980
653	正态分布	280957
654	中英聯合聲明	280928
655	魂囚西門	280649
656	美國	279845
657	都挺好	278886
658	中国抗日战争	278759
659	陪你到世界之巅	278747
660	SARS事件	278598
661	中国人民解放军	278478
662	向佐	278263
663	阿滴英文	277762
664	楊蕙如	276098
665	哥斯拉	275411
666	明仁	275196
667	芈月传	274484
668	遠東航空	273908
669	躁鬱症	273887
670	烈火如歌	273411
671	日本年號列表	273368
672	Grand Maison東京	272170
673	初次見面我愛你 (韓國電視劇)	271328
674	烈火雄心 (電視劇)	270665
675	我們真的學不來！	270347
676	鹿晗	270191
677	成為王的男人	269600
678	池晟	267146
679	哥布林殺手	266970
680	中華航空	266024
681	对习近平的争议	265601
682	賴冠霖	265295
683	博恩夜夜秀	264969
684	台灣民眾黨 (2019年)	264265
685	我的莫格利男孩	264147
686	四川航空8633号班机事故	263887
687	霍建華	263724
688	中華電信MOD	263654
689	朱镕基	263311
690	梁振英	262079
691	賢者之孫	262051
692	禁蒙面法	261881
693	Voice (韓國電視劇)	261607
694	梅艷芳	261283
695	鄭秀文	260819
696	深田詠美	260544
697	921大地震	259862
698	三毛 (作家)	259721
699	乌克兰	259442
700	孙小果	259438
701	法證先鋒II	259180
702	2019年丹麥羽毛球公開賽	258720
703	蜘蛛人：返校日	257903
704	博人传-火影次世代-	256469
705	海盜灣	256217
706	吳斯懷	256089
707	許雅婷	255763
708	陳偉霆	255627
709	朴寶劍	255393
710	怪獸與葛林戴華德的罪行	255107
711	全職高手	254745
712	謝坤達	254403
713	時代力量	253676
714	中华人民共和国被封锁网站列表	253579
715	一日三餐	253398
716	乌鲁木齐七五事件	253340
717	如果愛，重來	252802
718	比莉·艾利什	252783
719	丁海寅	252721
720	我們 (2019年電影)	252609
721	王瞳	252573
722	朱一龙	252430
723	馬成的喜悅	251713
724	向華強	251351
725	漫威电影宇宙系列电影	251262
726	美味滿閣	251049
727	陳意涵	250904
728	獅子王 (2019年電影)	250691
729	林宥嘉	250186
730	劉寅娜	249957
731	杜汶澤	249712
732	布洛芬	248834
733	紫罗兰永恒花园	248797
734	平成	248063
735	曾沛慈	248046
736	EVERGLOW	247687
737	少年的你	247382
738	孔曉振	247015
739	孔劉	246887
740	張國煒	246541
741	陳子見	246251
742	先熱情地打掃吧	245916
743	各位國民	245884
744	喜歡的話請響鈴	245807
745	在不瘋狂就等死	245765
746	隋文帝	245555
747	法證先鋒III	245378
748	葉問4	245100
749	越狱 (电视剧)	244814
750	封神演义 (2019年电视剧)	244442
751	金所泫	243749
752	魔法禁書目錄	243301
753	我世上最漂亮的女兒	242410
754	台北101	242163
755	2019年太平洋颱風季	241732
756	檢法男女2	241001
757	蘇志燮	240845
758	MOMOLAND	240556
759	具惠善	240471
760	POKÉMON 名偵探皮卡丘	239983
761	潤娥	239478
762	瘋狂亞洲富豪	239348
763	万圣夜	239096
764	黄金瞳	239037
765	禾浩辰	238637
766	從前，有個好萊塢	238234
767	南柱赫	238227
768	李多熙 (演員)	237977
769	中華民國國民身分證	237844
770	只为遇见你	237230
771	粵港澳大灣區	237085
772	王宇婕	236867
773	美心食品	236632
774	非洲豬瘟病毒科	236259
775	慈禧太后	236165
776	欧洲联盟	235337
777	王金平	235101
778	叢林的法則	234193
779	60天，指定倖存者	233238
780	許光漢	233230
781	港珠澳大橋	232615
782	無限寶石	232237
783	七大罪角色列表	231903
784	華堅·馮力士	231462
785	維基解密	231357
786	尼古拉·特斯拉	230876
